"id","nome","partido"
204569,"Delegado Pablo","UNIÃO"
204570,"Pastor Gil","PL"
204571,"Alex Santana","REPUBLICANOS"
204572,"Capitão Alberto Neto","PL"
204573,"Otto Alencar Filho","PSD"
204574,"Junior Lourenço","PL"
204575,"Gil Cutrim","REPUBLICANOS"
204576,"João Roma","PL"
205476,"Charles Fernandes","PSD"
205535,"Patricia Ferraz","PL"
205548,"David Miranda","PDT"
205550,"Jorge Braz","REPUBLICANOS"
205863,"Marcelo Brum","REPUBLICANOS"
205865,"Reinhold Stephanes Junior","PSD"
206231,"Ted Conti","PSB"
207176,"Bia Cavassa","PSDB"
207309,"Enéias Reis","UNIÃO"
209189,"Joseildo Ramos","PT"
211498,"Renato Santana","PSD"
211649,"Ricardo Pericar","UNIÃO"
211866,"Fabiano Tolentino","CIDADANIA"
212504,"Fernando Borja","AVANTE"
212625,"Dr. Gonçalo","REPUBLICANOS"
212749,"Marcão Gomes","PL"
213274,"Ricardo Silva","PSD"
213679,"Dr. João","PROS"
213762,"Carla Dickson","UNIÃO"
213854,"Dr. Agripino Magalhães","UNIÃO"
213856,"Deuzinho Filho","REPUBLICANOS"
214445,"Nilson F. Stainsack","PP"
214477,"RRenato Queiroz","PSD"
214694,"Jorge Goetten","PL"
214865,"Joceval Rodrigues","CIDADANIA"
215042,"Ricardo da Karol","PDT"
215043,"Josivaldo JP","PSD"
215044,"Vivi Reis","PSOL"
215045,"Pedro Augusto Palareti","PP"
215361,"Rachel Marques","PT"
216198,"Norma Pereira","PSDB"
216313,"Rafafá","PSDB"
216544,"Paulo Vicente Caleffi","PSD"
216545,"Totonho Lopes","PDT"
217036,"Henrique do Paraíso","REPUBLICANOS"
217330,"Pedro Dalua","PSC"
217480,"Jones Moura","PSD"
218086,"Ely Santos","REPUBLICANOS"
218245,"Jorielson","PL"
218741,"Patrick Dorneles","PSD"
218879,"Nelho Bezerra","UNIÃO"
219568,"Tiago Andrino","PSB"
219585,"Marco Brasil","PP"
219592,"Lucas Follador","PSC"
219599,"Sargento Alexandre","PODE"
219920,"Fabio Barros","PSB"
220008,"Eliza Virgínia","PP"
221147,"Marcia Scherer","MDB"
221148,"Alfredinho","PT"
221149,"Elói Pietá","PT"
221157,"Rui Godinho","UNIÃO"
221183,"Márcio Dória","PCdoB"
